Device_ID,Device_Type,Purchase_Date,Manufacturer,Model,Country,Maintenance_Report,Age,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class
MD10028,MRI Scanner,2010-01-29,CardioSync,Model-600,USA,Operational lag reported.,11.983073907501227,8179.710734722221,12.617960904848584,5,4,2
MD10029,ECG Machine,2010-01-30,CardioSync,Model-900,Germany,Operational lag reported.,7.84957065797726,4446.946269189065,8.5242422286718,2,1,1
MD10030,Ventilator,2010-01-31,CardioSync,Model-600,Japan,Voltage spike observed.,12.250056748876691,8430.611168430849,14.495628269269918,4,4,2
MD10031,Ventilator,2010-02-01,MediTech,Model-450,UK,Battery wear detected.,2.778527497969999,4198.60344569775,8.32231089753266,4,2,1
MD10032,Ventilator,2010-02-02,HealthCorp,Model-600,Japan,Operational lag reported.,12.23766628520675,11993.563121385338,25.533631761481544,6,6,3
MD10033,Defibrillator,2010-02-03,BioSystems,Model-450,UK,Voltage spike observed.,7.568090084703046,8460.85107819265,17.353176695819734,4,4,2
MD10034,Defibrillator,2010-02-04,CardioSync,Model-450,USA,Battery wear detected.,2.371616887843725,4420.6201166,20.335951158921397,4,3,2
MD10035,MRI Scanner,2010-02-05,CardioSync,Model-100,India,Routine check completed.,1.7367800117468315,4127.351759944842,6.887515294485545,1,2,0
MD10036,ECG Machine,2010-02-06,BioSystems,Model-450,Japan,Operational lag reported.,2.150378327306054,1896.4578417941443,10.302617056963022,2,2,0
MD10037,MRI Scanner,2010-02-07,HealthCorp,Model-900,USA,Routine check completed.,5.097399145863742,6533.408420082851,9.033666175417276,3,3,1
MD10038,Defibrillator,2010-02-08,HealthCorp,Model-900,Germany,Routine check completed.,7.334362729039542,9151.361321626748,24.637886796131102,4,3,2
MD10039,MRI Scanner,2010-02-09,CardioSync,Model-450,USA,Voltage spike observed.,12.465378715565784,10118.819460267412,31.304498745213515,6,6,3
MD10040,Defibrillator,2010-02-10,BioSystems,Model-900,India,Routine check completed.,9.833501862182963,4569.924823001174,25.546561491822565,3,3,2
MD10041,MRI Scanner,2010-02-11,CardioSync,Model-600,USA,Routine check completed.,3.65106312128318,4383.53689165266,18.29655996272678,3,3,1
MD10042,Ventilator,2010-02-12,HealthCorp,Model-600,India,Voltage spike observed.,9.338871227451916,11294.299718277827,32.62544901083568,5,5,3
MD10043,ECG Machine,2010-02-13,MediTech,Model-600,UK,Routine check completed.,0.4139246699735697,4642.402851572451,5.979933207447153,1,0,0
MD10044,MRI Scanner,2010-02-14,CardioSync,Model-100,Japan,Voltage spike observed.,9.653553121721233,10965.905726916628,39.552016212766354,4,7,3
MD10045,Ventilator,2010-02-15,MediTech,Model-600,India,Voltage spike observed.,13.588070771328775,12647.13193505932,23.701848611461493,5,7,3
MD10046,MRI Scanner,2010-02-16,HealthCorp,Model-900,USA,Component replaced after overheating.,5.732886064273822,3705.8021314718326,14.54652112150255,4,3,1
MD10047,ECG Machine,2010-02-17,BioSystems,Model-450,Japan,Routine check completed.,5.094150123537933,6094.181529365295,7.018684551525525,1,1,0
MD10048,ECG Machine,2010-02-18,HealthCorp,Model-100,Japan,Routine check completed.,2.5610754839582266,3723.999768711749,6.014579062630824,3,1,0
MD10049,Defibrillator,2010-02-19,MediTech,Model-450,Germany,Voltage spike observed.,5.195973841129767,8835.922150002927,17.949979141655888,6,6,3
MD10050,Ventilator,2010-02-20,BioSystems,Model-900,Japan,Voltage spike observed.,7.355785094969646,5106.523640674524,7.690236530219464,4,3,1
MD10051,Ventilator,2010-02-21,HealthCorp,Model-100,USA,Voltage spike observed.,9.120337616050248,10721.734389780131,29.12750991300068,5,6,3
MD10052,Ventilator,2010-02-22,MediTech,Model-100,Japan,Operational lag reported.,3.1713468435306416,3053.64827177877,10.719246622563157,1,0,0
MD10053,MRI Scanner,2010-02-23,MediTech,Model-600,UK,Battery wear detected.,0.5121529858547973,4835.340073514532,19.412972194428136,2,1,1
MD10054,Ventilator,2010-02-24,HealthCorp,Model-100,UK,Voltage spike observed.,0.0,3206.1579392793583,8.9748051156258,3,2,0
MD10055,ECG Machine,2010-02-25,BioSystems,Model-600,UK,Voltage spike observed.,1.9785507673679528,4953.130915595967,7.01023148079893,2,1,0
MD10056,MRI Scanner,2010-02-26,BioSystems,Model-600,Germany,Battery wear detected.,7.406729879893612,9439.749998004594,25.668151640639632,5,4,2
MD10057,ECG Machine,2010-02-27,BioSystems,Model-450,Germany,Routine check completed.,4.931036607593485,6013.142467457744,9.002622995885002,3,2,1
MD10058,MRI Scanner,2010-02-28,BioSystems,Model-100,USA,Operational lag reported.,10.816476976377578,11644.225885560032,26.761736378930088,6,8,3
MD10059,Defibrillator,2010-03-01,CardioSync,Model-600,Germany,Operational lag reported.,9.069603174914633,7284.968050151616,15.408545029643108,6,7,3
MD10060,Defibrillator,2010-03-02,MediTech,Model-600,Japan,Component replaced after overheating.,11.408667765005534,10520.046628273432,18.23427121031005,5,9,3
MD10061,Defibrillator,2010-03-03,MediTech,Model-900,Germany,Routine check completed.,6.849911590205467,3530.10962587035,1.7433161583749488,1,1,0
MD10062,ECG Machine,2010-03-04,MediTech,Model-100,UK,Operational lag reported.,7.931408642393804,6837.182606629462,16.191519874855327,4,3,2
MD10063,Ventilator,2010-03-05,CardioSync,Model-900,USA,Battery wear detected.,3.9616227755257407,6424.019958596291,37.98983045119701,5,6,3
MD10064,Defibrillator,2010-03-06,CardioSync,Model-100,USA,Routine check completed.,10.914419053270228,8155.229720782744,14.1465932079434,4,4,2
MD10065,Defibrillator,2010-03-07,HealthCorp,Model-600,India,Operational lag reported.,7.335862388887313,5961.441035624121,11.502979649733,3,1,1
MD10066,ECG Machine,2010-03-08,MediTech,Model-450,India,Operational lag reported.,7.623635109785829,12044.456088648303,22.78568903703477,4,9,3
MD10067,MRI Scanner,2010-03-09,CardioSync,Model-900,Germany,Voltage spike observed.,5.490448584532687,3237.409728382906,4.30410691061388,3,2,0
MD10068,MRI Scanner,2010-03-10,HealthCorp,Model-450,India,Operational lag reported.,8.965916477107417,6578.994101420745,8.8330933054084,3,1,1
MD10069,Ventilator,2010-03-11,HealthCorp,Model-100,Japan,Component replaced after overheating.,1.428395746572906,1982.5481285824756,4.641512243041042,2,1,0
MD10070,MRI Scanner,2010-03-12,CardioSync,Model-600,Japan,Routine check completed.,3.181758438907094,4982.507526973846,8.314206704927289,4,3,1
MD10071,Defibrillator,2010-03-13,HealthCorp,Model-600,USA,Operational lag reported.,11.548008620480497,7742.623320241648,31.04058004853711,4,6,3
MD10072,ECG Machine,2010-03-14,MediTech,Model-900,Germany,Component replaced after overheating.,6.341177928163823,10714.30458145792,31.650494243023957,5,9,3
MD10073,MRI Scanner,2010-03-15,HealthCorp,Model-450,Germany,Battery wear detected.,0.932370410005865,4578.830273536946,9.6275267924093,3,2,0
MD10074,Defibrillator,2010-03-16,CardioSync,Model-600,India,Battery wear detected.,2.7291901376697,4402.804755259473,5.827227024303476,3,2,0
MD10075,ECG Machine,2010-03-17,HealthCorp,Model-100,India,Voltage spike observed.,9.473946740650623,14787.480042706578,28.828316141313948,5,6,3
MD10076,MRI Scanner,2010-03-18,HealthCorp,Model-600,UK,Component replaced after overheating.,10.139878930046466,8058.089515799681,11.162763037348569,6,8,3
MD10077,ECG Machine,2010-03-19,CardioSync,Model-600,USA,Component replaced after overheating.,5.432265505396126,4848.27710062529,14.801444021219028,4,2,1
MD10078,MRI Scanner,2010-03-20,MediTech,Model-100,Germany,Component replaced after overheating.,4.905415150515173,3400.532969813186,5.783519617123012,2,0,0
MD10079,Ventilator,2010-03-21,MediTech,Model-450,Germany,Operational lag reported.,4.311490982746065,2715.1009595812425,14.40047851351592,4,3,1
MD10080,Defibrillator,2010-03-22,HealthCorp,Model-600,India,Operational lag reported.,14.184973604642517,3066.662296105565,26.60439328075756,4,4,2
MD10081,Defibrillator,2010-03-23,CardioSync,Model-100,India,Operational lag reported.,2.342049505702527,3503.34643520224,6.364371332653258,1,2,0
MD10082,ECG Machine,2010-03-24,CardioSync,Model-900,UK,Operational lag reported.,4.500719100346876,4869.649930020414,13.42184278498286,4,1,1
MD10083,Ventilator,2010-03-25,BioSystems,Model-900,UK,Operational lag reported.,1.7681917010205734,4528.049978017436,3.8643842700065454,2,2,0
MD10084,Ventilator,2010-03-26,BioSystems,Model-100,UK,Voltage spike observed.,8.290120591701895,8394.082862360092,30.67679055684862,5,6,3
MD10085,Ventilator,2010-03-27,HealthCorp,Model-600,Japan,Voltage spike observed.,5.484200230081711,4848.567706090174,8.372701429610405,2,1,0
MD10086,Defibrillator,2010-03-28,HealthCorp,Model-900,Germany,Voltage spike observed.,11.503273160134752,8063.061683690159,29.88720161428773,4,5,3
MD10087,ECG Machine,2010-03-29,MediTech,Model-100,UK,Component replaced after overheating.,2.0687191433678054,5339.562344774222,11.816350833454951,4,2,1
MD10088,ECG Machine,2010-03-30,MediTech,Model-450,Japan,Routine check completed.,12.430183530057242,8089.199189327523,24.89442924157993,4,4,2
MD10089,ECG Machine,2010-03-31,HealthCorp,Model-100,Japan,Operational lag reported.,7.341549128322956,4347.86689145766,28.591775711417817,3,5,2
MD10090,MRI Scanner,2010-04-01,MediTech,Model-450,Germany,Battery wear detected.,5.943376130026239,6440.307376545203,11.415281190045256,2,3,1
MD10091,Ventilator,2010-04-02,HealthCorp,Model-600,UK,Routine check completed.,8.34176185555415,6969.999308744321,24.106992961379007,3,4,2
MD10092,Defibrillator,2010-04-03,CardioSync,Model-100,Japan,Battery wear detected.,10.886323220950894,8857.395757986633,16.019737653510767,6,7,3
MD10093,Defibrillator,2010-04-04,HealthCorp,Model-600,India,Battery wear detected.,1.6748334135459084,1452.6977162912613,7.177028450252964,2,1,0
MD10094,Defibrillator,2010-04-05,CardioSync,Model-900,USA,Battery wear detected.,4.680489945265991,3964.735127730903,8.334978823184143,2,3,1
MD10095,Defibrillator,2010-04-06,MediTech,Model-450,USA,Operational lag reported.,6.822255692365987,7866.216462875029,14.461256542644216,2,1,1
MD10096,Defibrillator,2010-04-07,MediTech,Model-450,USA,Battery wear detected.,5.87661923118386,4517.844483711866,14.190790606160014,4,2,1
MD10097,ECG Machine,2010-04-08,BioSystems,Model-100,Japan,Battery wear detected.,11.158920774795304,8931.286321105108,23.661538671524028,6,7,3
MD10098,Defibrillator,2010-04-09,BioSystems,Model-900,Japan,Battery wear detected.,3.521721842168154,3949.7199638080656,14.196704825327467,4,3,1
MD10099,ECG Machine,2010-04-10,HealthCorp,Model-600,Germany,Battery wear detected.,3.2779850137078643,3029.529414722204,2.2058788677611307,1,2,0
MD10100,Ventilator,2010-04-11,MediTech,Model-900,Japan,Battery wear detected.,1.200742543128981,4291.69021164572,7.302541261097584,2,0,0
MD10101,Defibrillator,2010-04-12,BioSystems,Model-100,UK,Routine check completed.,5.136155937355905,6701.774372132633,24.750103373743656,3,5,2
MD10102,MRI Scanner,2010-04-13,HealthCorp,Model-600,UK,Battery wear detected.,6.4742180544939965,7789.857640877855,21.347240738779217,5,5,2
MD10103,MRI Scanner,2010-04-14,CardioSync,Model-600,UK,Operational lag reported.,2.388540089359412,3023.2631584985097,3.950303674176256,1,0,0
MD10104,ECG Machine,2010-04-15,MediTech,Model-450,India,Routine check completed.,6.491081850509283,6138.787828172604,14.544195050839898,3,4,2
MD10105,Defibrillator,2010-04-16,MediTech,Model-900,Germany,Operational lag reported.,0.7824255326228391,4959.076713049242,8.28635909312666,2,0,0
MD10106,Ventilator,2010-04-17,CardioSync,Model-450,UK,Routine check completed.,1.4930267518001858,3753.756226868262,11.238359644342966,1,1,0
MD10107,Defibrillator,2010-04-18,BioSystems,Model-100,UK,Routine check completed.,2.51986696453091,2629.994629028626,4.421125589836249,2,2,0
MD10108,MRI Scanner,2010-04-19,BioSystems,Model-600,Germany,Battery wear detected.,10.495604701723575,12275.56125104862,35.209876860698216,4,5,3
MD10109,MRI Scanner,2010-04-20,HealthCorp,Model-450,Japan,Component replaced after overheating.,8.440661150765,10845.423670957938,27.255778033094472,6,5,3
MD10110,Defibrillator,2010-04-21,MediTech,Model-450,Germany,Battery wear detected.,7.761499181606378,9434.168394799992,28.675657824058863,6,9,3
MD10111,ECG Machine,2010-04-22,MediTech,Model-450,Japan,Component replaced after overheating.,7.260455109017564,3817.317666654533,13.448959750303754,3,3,1
MD10112,Ventilator,2010-04-23,HealthCorp,Model-450,India,Routine check completed.,9.03803573155944,11279.941421140216,18.79997434154992,6,7,3
MD10113,Defibrillator,2010-04-24,HealthCorp,Model-900,USA,Component replaced after overheating.,6.104360901132783,6098.0359995038325,9.77683363555396,2,2,1
MD10114,Ventilator,2010-04-25,CardioSync,Model-600,India,Voltage spike observed.,0.9519642344787282,6458.049023634187,9.979782277527567,2,1,1
MD10115,Ventilator,2010-04-26,BioSystems,Model-100,Germany,Operational lag reported.,6.633161028433062,13009.38509937656,37.35347639304522,6,6,3
MD10116,ECG Machine,2010-04-27,CardioSync,Model-100,USA,Operational lag reported.,1.148961703144214,3326.875510821216,8.337300369977276,1,0,0
MD10117,Defibrillator,2010-04-28,HealthCorp,Model-900,Germany,Routine check completed.,3.924175049006545,2374.319449883257,11.591048757212445,3,1,1
MD10118,MRI Scanner,2010-04-29,BioSystems,Model-100,India,Voltage spike observed.,5.469283824433568,1000.0,9.733499249417797,3,0,0
MD10119,ECG Machine,2010-04-30,HealthCorp,Model-900,India,Component replaced after overheating.,13.165753023672256,4954.088336286239,23.37927321616902,5,5,3
MD10120,Ventilator,2010-05-01,BioSystems,Model-450,Germany,Operational lag reported.,5.025686510402343,3817.063116981375,7.119369953107945,3,3,1
MD10121,Ventilator,2010-05-02,MediTech,Model-450,UK,Component replaced after overheating.,9.279826084003725,6308.481918900631,7.944103367339306,3,4,2
MD10122,ECG Machine,2010-05-03,CardioSync,Model-100,USA,Operational lag reported.,5.002871717361238,5224.631697097982,10.403456856209912,3,2,1
MD10123,MRI Scanner,2010-05-04,MediTech,Model-900,Japan,Component replaced after overheating.,9.54813528858388,8254.044034925426,25.987649229857524,5,4,2
MD10124,Defibrillator,2010-05-05,MediTech,Model-600,Japan,Operational lag reported.,6.854183896553261,12929.44265574894,31.309353228785096,6,9,3
MD10125,Defibrillator,2010-05-06,BioSystems,Model-450,India,Battery wear detected.,4.827416588954183,7713.627601915376,27.430771202058345,4,3,2
MD10126,MRI Scanner,2010-05-07,BioSystems,Model-900,Germany,Operational lag reported.,4.1854356998885445,5748.644925933993,4.527883682752379,3,2,1
MD10127,Ventilator,2010-05-08,CardioSync,Model-900,USA,Routine check completed.,10.18041726672622,10925.767283936026,33.33862752844604,5,9,3
MD10128,ECG Machine,2010-05-09,BioSystems,Model-600,USA,Voltage spike observed.,3.692298623100096,1051.590278793451,0.840686646118594,2,1,0
MD10129,Ventilator,2010-05-10,HealthCorp,Model-450,India,Routine check completed.,3.1332779025244424,4548.513407128295,17.552094255242384,4,3,1
MD10130,Defibrillator,2010-05-11,BioSystems,Model-100,Japan,Battery wear detected.,10.180178298937877,11832.968819516798,18.219398705948137,3,3,2
MD10131,Ventilator,2010-05-12,MediTech,Model-100,Germany,Component replaced after overheating.,10.60084947827244,12627.43925027084,30.0498212603666,6,6,3
MD10132,Defibrillator,2010-05-13,MediTech,Model-600,Japan,Battery wear detected.,8.325127370053178,11106.389777089402,25.83184077305672,3,3,2
MD10133,Ventilator,2010-05-14,HealthCorp,Model-100,Japan,Routine check completed.,7.658179130710852,10594.17583869298,15.684459761496854,5,4,2
MD10134,ECG Machine,2010-05-15,MediTech,Model-600,Japan,Component replaced after overheating.,6.098689251624598,3252.5367885898445,7.791177045398996,2,2,1
MD10135,MRI Scanner,2010-05-16,MediTech,Model-100,Japan,Operational lag reported.,7.596212223803346,9112.704457474758,28.25165205153175,3,3,2
MD10136,Ventilator,2010-05-17,BioSystems,Model-900,India,Component replaced after overheating.,6.588945977874449,3817.719174698728,24.853763906561127,4,8,3
MD10137,MRI Scanner,2010-05-18,HealthCorp,Model-100,UK,Voltage spike observed.,9.120468661827152,5753.107771521397,27.59123641434679,5,8,3
MD10138,Ventilator,2010-05-19,MediTech,Model-600,India,Component replaced after overheating.,2.3265893582414257,3391.007947746909,9.79799371912738,1,1,0
MD10139,MRI Scanner,2010-05-20,MediTech,Model-100,Japan,Component replaced after overheating.,4.0279519602763925,5036.521576585446,12.101836584648437,4,1,1
MD10140,Ventilator,2010-05-21,MediTech,Model-100,UK,Battery wear detected.,5.245782492486207,9348.14926266306,21.413058702658123,4,3,2
MD10141,Ventilator,2010-05-22,BioSystems,Model-450,Germany,Component replaced after overheating.,6.0370486478979135,5928.914284907139,14.448615671443603,3,1,1
MD10142,ECG Machine,2010-05-23,CardioSync,Model-100,Japan,Component replaced after overheating.,1.439773598157065,5885.775380508645,12.282189776470483,3,3,1
MD10143,ECG Machine,2010-05-24,CardioSync,Model-450,India,Voltage spike observed.,4.704156132688053,4603.846010581893,4.784689217132039,1,1,0
MD10144,MRI Scanner,2010-05-25,CardioSync,Model-450,India,Operational lag reported.,3.4407516116752195,1000.0,8.30863356754303,3,0,0
MD10145,Ventilator,2010-05-26,HealthCorp,Model-100,Germany,Voltage spike observed.,3.9932611174002983,3063.561211060812,5.495393360427508,2,0,0
MD10146,MRI Scanner,2010-05-27,HealthCorp,Model-450,India,Voltage spike observed.,8.511258047668722,10144.097656824391,26.08805070532695,5,5,2
MD10147,Defibrillator,2010-05-28,CardioSync,Model-450,Germany,Routine check completed.,1.1112713152725853,3320.8977335039403,5.38507009203848,2,1,1
MD10148,MRI Scanner,2010-05-29,BioSystems,Model-450,UK,Component replaced after overheating.,10.144305363404817,11705.769415446528,16.84921222866546,4,4,2
MD10149,ECG Machine,2010-05-30,CardioSync,Model-100,USA,Voltage spike observed.,10.45413300037253,8994.84440032909,41.54634362648477,4,9,3
MD10150,Defibrillator,2010-05-31,HealthCorp,Model-600,India,Voltage spike observed.,4.307214022625699,4961.355014213036,14.322104251735349,3,2,1
MD10151,Ventilator,2010-06-01,CardioSync,Model-100,USA,Battery wear detected.,9.17644809784112,8581.321752823016,17.91262489194861,3,4,2
MD10152,Defibrillator,2010-06-02,MediTech,Model-100,Germany,Battery wear detected.,2.8369002276687274,4405.14760447914,7.964205757597331,2,2,0
MD10153,ECG Machine,2010-06-03,BioSystems,Model-600,Germany,Battery wear detected.,5.467923926323557,7734.78885929749,15.589156693508375,3,5,2
MD10154,ECG Machine,2010-06-04,HealthCorp,Model-900,Japan,Battery wear detected.,12.71781315078002,7958.308881882027,33.900413761507146,5,5,3
MD10155,Defibrillator,2010-06-05,MediTech,Model-600,Germany,Voltage spike observed.,11.275791689286072,10961.16398855894,35.22497892982368,5,7,3
MD10156,Ventilator,2010-06-06,HealthCorp,Model-450,UK,Component replaced after overheating.,9.314163604410702,6013.531694885842,5.7092113723152815,3,2,1
MD10157,Defibrillator,2010-06-07,MediTech,Model-900,Japan,Operational lag reported.,6.397510970769996,8167.575131990494,30.64771005221501,4,7,3
MD10158,Defibrillator,2010-06-08,MediTech,Model-100,India,Battery wear detected.,9.901808390233152,4927.55926380958,21.35202486303626,3,4,2
MD10159,Defibrillator,2010-06-09,HealthCorp,Model-450,Japan,Operational lag reported.,2.8745746086678707,8967.977944090559,18.83056615539144,3,4,2
MD10160,MRI Scanner,2010-06-10,BioSystems,Model-600,USA,Component replaced after overheating.,12.803178975457277,7847.582820629751,37.6762528778584,6,8,3
MD10161,MRI Scanner,2010-06-11,CardioSync,Model-600,India,Component replaced after overheating.,6.20509998367066,9583.47278271302,33.54076097253776,4,7,3
MD10162,Ventilator,2010-06-12,HealthCorp,Model-450,Germany,Voltage spike observed.,7.493556052433321,8275.422078339729,17.659556697100175,3,4,2
MD10163,Ventilator,2010-06-13,MediTech,Model-900,India,Routine check completed.,6.6804035849274985,7442.854871584068,17.123758572023448,3,4,2
MD10164,MRI Scanner,2010-06-14,CardioSync,Model-450,UK,Routine check completed.,0.8941851750619136,4529.119441411852,4.757288939449634,1,1,0
MD10165,ECG Machine,2010-06-15,BioSystems,Model-100,Germany,Operational lag reported.,4.918214068429721,12029.25032837436,24.85613671861046,5,6,3
MD10166,ECG Machine,2010-06-16,HealthCorp,Model-100,India,Routine check completed.,5.569964184599495,3777.399444755512,4.161278880322191,2,3,1
MD10167,MRI Scanner,2010-06-17,MediTech,Model-900,India,Routine check completed.,11.543869456618252,8071.369956143399,10.477381527900736,4,4,2
MD10168,ECG Machine,2010-06-18,MediTech,Model-900,USA,Component replaced after overheating.,4.505486218450184,1829.4849420490611,9.261542373224984,1,2,0
MD10169,Ventilator,2010-06-19,CardioSync,Model-900,Germany,Routine check completed.,2.8162902484236723,5652.885742510532,6.712864411895078,4,1,1
MD10170,Defibrillator,2010-06-20,CardioSync,Model-100,USA,Component replaced after overheating.,0.8526365686402473,3414.538815848229,10.804280170965336,4,2,1
MD10171,ECG Machine,2010-06-21,BioSystems,Model-600,India,Battery wear detected.,2.3279994358098604,3107.817988472219,6.4762618698042775,2,0,0
MD10172,ECG Machine,2010-06-22,BioSystems,Model-900,India,Voltage spike observed.,9.976791224987704,10413.795271853169,45.11690819676909,4,9,3
MD10173,ECG Machine,2010-06-23,HealthCorp,Model-100,Japan,Routine check completed.,1.981140548693281,5149.059571209527,6.332057568821825,2,0,0
MD10174,Defibrillator,2010-06-24,MediTech,Model-600,Germany,Operational lag reported.,14.735384230199552,3565.365214450526,17.376426251841607,3,3,2
MD10175,Defibrillator,2010-06-25,BioSystems,Model-100,UK,Operational lag reported.,7.51621255773026,4048.454855845777,6.561370634098214,3,3,1
MD10176,ECG Machine,2010-06-26,BioSystems,Model-450,Japan,Component replaced after overheating.,8.619385397523262,5401.176882775405,17.130806918171547,5,3,2
MD10177,ECG Machine,2010-06-27,BioSystems,Model-900,Germany,Component replaced after overheating.,1.3789248777746217,3055.256482757869,7.268716976786399,3,2,0
MD10178,Defibrillator,2010-06-28,MediTech,Model-100,Japan,Voltage spike observed.,5.448845265527487,4961.390060229096,17.980637041439614,5,3,2
MD10179,MRI Scanner,2010-06-29,HealthCorp,Model-100,Japan,Voltage spike observed.,6.613074860562817,8170.540768442544,21.07702542575779,6,5,3
MD10180,ECG Machine,2010-06-30,MediTech,Model-600,Germany,Battery wear detected.,7.412248076201027,9525.468175662514,16.28183424976436,3,4,2
MD10181,ECG Machine,2010-07-01,CardioSync,Model-100,UK,Voltage spike observed.,4.572789019122626,4557.412340807144,14.231172900149796,3,2,1
MD10182,ECG Machine,2010-07-02,CardioSync,Model-600,Japan,Component replaced after overheating.,10.19636335554046,11820.157351931572,23.444392436992207,6,7,3
MD10183,Defibrillator,2010-07-03,CardioSync,Model-450,Japan,Component replaced after overheating.,5.050467129043506,6406.151575231551,7.238591699780358,4,3,1
MD10184,MRI Scanner,2010-07-04,CardioSync,Model-600,UK,Component replaced after overheating.,9.335338365314978,6868.785230760898,39.74566116419565,6,5,3
MD10185,ECG Machine,2010-07-05,BioSystems,Model-450,Japan,Voltage spike observed.,10.000795657284682,6403.2895916629295,29.470044103834457,4,8,3
MD10186,Ventilator,2010-07-06,MediTech,Model-900,Japan,Battery wear detected.,3.350494598979628,9843.535434562007,8.19594425305478,4,8,3
MD10187,Ventilator,2010-07-07,HealthCorp,Model-600,Germany,Routine check completed.,8.899602074001262,7333.955602154629,20.34666222901656,4,3,2
MD10188,Defibrillator,2010-07-08,BioSystems,Model-100,Japan,Voltage spike observed.,3.721148304642965,1764.4462405892427,10.950984741600996,3,0,0
